Precinct,Early Ballots Cast, ,,Election Ballots Cast,,Total Ballots Cast,,Registered Voters,Percent Turnout,Percent Turnout,"REP
Mary Nan Huffman",,"DEM
Kim Ogg",,Totals
1,"2,412",,,303,,"2,715",,"3,295",82.40%,,870,,"1,707",,"2,577"
2,"1,436",,,156,,"1,592",,"2,149",74.08%,,537,,961,,"1,498"
3,"1,388",,,277,,"1,665",,"1,691",98.46%,,562,,"1,015",,"1,577"
4,"1,438",,,252,,"1,690",,"1,873",90.23%,,570,,"1,044",,"1,614"
5,"1,133",,,139,,"1,272",,"1,562",81.43%,,415,,797,,"1,212"
6,"2,542",,,490,,"3,032",,"4,743",63.93%,,"1,280",,"1,614",,"2,894"
7,464,,,68,,532,,955,55.71%,,35,,468,,503
8,"1,180",,,117,,"1,297",,"1,804",71.90%,,539,,683,,"1,222"
9,"1,356",,,200,,"1,556",,"2,447",63.59%,,395,,"1,074",,"1,469"
10,914,,,146,,"1,060",,"1,953",54.28%,,265,,712,,977
11,929,,,161,,"1,090",,"1,897",57.46%,,264,,730,,994
12,342,,,89,,431,,805,53.54%,,195,,203,,398
13,"1,620",,,230,,"1,850",,"2,965",62.39%,,"1,098",,649,,"1,747"
14,"1,407",,,170,,"1,577",,"1,956",80.62%,,656,,835,,"1,491"
15,"2,397",,,245,,"2,642",,"3,067",86.14%,,"1,219",,"1,295",,"2,514"
16,"1,638",,,166,,"1,804",,"2,394",75.36%,,683,,"1,040",,"1,723"
17,717,,,134,,851,,"1,260",67.54%,,318,,484,,802
18,"1,093",,,118,,"1,211",,"1,470",82.38%,,468,,668,,"1,136"
19,"1,179",,,114,,"1,293",,"1,646",78.55%,,357,,884,,"1,241"
20,"1,535",,,183,,"1,718",,"3,097",55.47%,,433,,"1,206",,"1,639"
21,848,,,99,,947,,"1,351",70.10%,,182,,717,,899
22,"1,326",,,218,,"1,544",,"2,573",60.01%,,237,,"1,234",,"1,471"
23,215,,,52,,267,,570,46.84%,,54,,198,,252
24,541,,,64,,605,,943,64.16%,,96,,489,,585
25,402,,,83,,485,,"1,072",45.24%,,34,,431,,465
26,"1,233",,,174,,"1,407",,"2,142",65.69%,,313,,"1,023",,"1,336"
27,"1,936",,,310,,"2,246",,"3,590",62.56%,,557,,"1,548",,"2,105"
28,"2,227",,,374,,"2,601",,"3,823",68.04%,,"1,286",,"1,173",,"2,459"
29,988,,,347,,"1,335",,"2,958",45.13%,,549,,657,,"1,206"
30,"2,198",,,346,,"2,544",,"3,636",69.97%,,684,,"1,720",,"2,404"
31,"1,125",,,269,,"1,394",,"2,748",50.73%,,89,,"1,243",,"1,332"
32,"2,216",,,269,,"2,485",,"3,608",68.87%,,717,,"1,642",,"2,359"
33,"3,141",,,251,,"3,392",,"4,474",75.82%,,"1,004",,"2,246",,"3,250"
34,"2,235",,,178,,"2,413",,"3,326",72.55%,,480,,"1,844",,"2,324"
Precinct,,Early Ballots Cast,Election Ballots Cast,,Total Ballots Cast,,Registered Voters,,Percent Turnout,"REP
Mary Nan Huffman",,"DEM
Kim Ogg",,Totals,
35,7,,,0,,7,,20,35.00%,,2,,4,,6
36,"1,449",,,283,,"1,732",,"3,144",55.09%,,550,,"1,056",,"1,606"
37,"2,102",,,106,,"2,208",,"2,914",75.77%,,607,,"1,512",,"2,119"
38,"2,469",,,145,,"2,614",,"3,315",78.85%,,728,,"1,769",,"2,497"
39,"2,533",,,198,,"2,731",,"3,816",71.57%,,630,,"1,989",,"2,619"
40,432,,,24,,456,,553,82.46%,,163,,269,,432
41,"1,008",,,145,,"1,153",,"1,687",68.35%,,458,,656,,"1,114"
42,416,,,58,,474,,936,50.64%,,26,,414,,440
43,"1,160",,,176,,"1,336",,"2,107",63.41%,,538,,708,,"1,246"
44,"1,024",,,203,,"1,227",,"2,240",54.78%,,319,,830,,"1,149"
45,"4,253",,,739,,"4,992",,"7,809",63.93%,,"1,150",,"3,584",,"4,734"
46,"1,172",,,252,,"1,424",,"2,724",52.28%,,320,,999,,"1,319"
47,672,,,144,,816,,"1,594",51.19%,,74,,693,,767
48,508,,,80,,588,,997,58.98%,,72,,474,,546
49,"3,314",,,493,,"3,807",,"5,301",71.82%,,"2,344",,"1,287",,"3,631"
50,"2,831",,,414,,"3,245",,"4,706",68.95%,,"1,463",,"1,622",,"3,085"
51,"1,131",,,159,,"1,290",,"1,840",70.11%,,897,,325,,"1,222"
52,"2,181",,,196,,"2,377",,"3,087",77.00%,,868,,"1,369",,"2,237"
53,"2,610",,,194,,"2,804",,"3,506",79.98%,,962,,"1,697",,"2,659"
54,"1,478",,,101,,"1,579",,"1,860",84.89%,,655,,836,,"1,491"
55,"2,426",,,223,,"2,649",,"3,320",79.79%,,996,,"1,526",,"2,522"
56,"1,092",,,143,,"1,235",,"1,630",75.77%,,640,,525,,"1,165"
57,"2,691",,,177,,"2,868",,"3,558",80.61%,,967,,"1,778",,"2,745"
58,"2,913",,,230,,"3,143",,"3,876",81.09%,,"1,232",,"1,746",,"2,978"
59,"2,311",,,186,,"2,497",,"3,121",80.01%,,895,,"1,498",,"2,393"
60,"2,195",,,160,,"2,355",,"3,105",75.85%,,497,,"1,746",,"2,243"
61,827,,,264,,"1,091",,"1,998",54.60%,,342,,628,,970
62,876,,,287,,"1,163",,"2,248",51.73%,,328,,724,,"1,052"
63,"1,175",,,145,,"1,320",,"1,996",66.13%,,"1,009",,242,,"1,251"
64,938,,,257,,"1,195",,"2,366",50.51%,,291,,801,,"1,092"
65,790,,,287,,"1,077",,"2,311",46.60%,,290,,677,,967
66,427,,,164,,591,,"1,222",48.36%,,156,,386,,542
67,"1,308",,,359,,"1,667",,"3,318",50.24%,,401,,"1,112",,"1,513"
68,"1,734",,,250,,"1,984",,"3,410",58.18%,,115,,"1,784",,"1,899"
Precinct,,Early Ballots Cast,Election Ballots Cast,,Total Ballots Cast,,Registered Voters,,Percent Turnout,"REP
Mary Nan Huffman",,"DEM
Kim Ogg",,Totals,
69,502,,,155,,657,,"1,360",48.31%,,126,,470,,596
70,"3,352",,,304,,"3,656",,"4,441",82.32%,,"1,768",,"1,731",,"3,499"
71,"5,029",,,431,,"5,460",,"6,719",81.26%,,"2,337",,"2,811",,"5,148"
72,"1,126",,,249,,"1,375",,"2,195",62.64%,,420,,864,,"1,284"
73,"1,413",,,134,,"1,547",,"1,916",80.74%,,719,,759,,"1,478"
74,"2,817",,,142,,"2,959",,"3,578",82.70%,,"2,042",,795,,"2,837"
75,"1,634",,,130,,"1,764",,"2,198",80.25%,,695,,986,,"1,681"
76,"1,350",,,258,,"1,608",,"2,496",64.42%,,766,,742,,"1,508"
77,5,,,2,,7,,11,63.64%,,3,,3,,6
78,811,,,180,,991,,"1,749",56.66%,,306,,607,,913
79,"1,170",,,335,,"1,505",,"3,127",48.13%,,413,,934,,"1,347"
80,"1,517",,,237,,"1,754",,"2,810",62.42%,,448,,"1,179",,"1,627"
81,"1,100",,,220,,"1,320",,"2,230",59.19%,,442,,641,,"1,083"
