"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"President/Vice President (Vote For 1)","Donald J. Trump/Michael R. Pence","REP",93911,60.56,0,155752,94,82,"0","406"
2,"President/Vice President (Vote For 1)","Joseph R. Biden/Kamala D. Harris","DEM",58842,37.95,0,155752,94,82,"0","406"
3,"President/Vice President (Vote For 1)","Jo Jorgensen/Jeremy 'Spike' Cohen","LIB",1913,1.23,0,155752,94,82,"0","406"
4,"President/Vice President (Vote For 1)","Howie Hawkins/Angela Walker","GRN",393,0.25,0,155752,94,82,"0","406"
5,"President/Vice President (Vote For 1)","President R. Boddie/Eric C. Stoneham","",0,0.00,0,155752,94,82,"0","406"
6,"President/Vice President (Vote For 1)","Brian Carroll/Amar Patel","",1,0.00,0,155752,94,82,"0","406"
7,"President/Vice President (Vote For 1)","Todd Cella/Tim Cella","",0,0.00,0,155752,94,82,"0","406"
8,"President/Vice President (Vote For 1)","Jesse Cuellar/Jimmy Monreal","",0,0.00,0,155752,94,82,"0","406"
9,"President/Vice President (Vote For 1)","Tom Hoefling/Andy Prior","",0,0.00,0,155752,94,82,"0","406"
10,"President/Vice President (Vote For 1)","Gloria La Riva/Leonard Peltier","",0,0.00,0,155752,94,82,"0","406"
11,"President/Vice President (Vote For 1)","Abram Loeb/Jennifer Jairala","",0,0.00,0,155752,94,82,"0","406"
12,"President/Vice President (Vote For 1)","Robert Morrow/Anne Beckett","",0,0.00,0,155752,94,82,"0","406"
13,"President/Vice President (Vote For 1)","Kasey Wells/Rachel Wells","",0,0.00,0,155752,94,82,"0","406"
14,"United States Senator (Vote For 1)","John Cornyn","REP",94317,61.49,0,155752,94,82,"0","2306"
15,"United States Senator (Vote For 1)","Mary 'MJ' Hegar","DEM",55094,35.92,0,155752,94,82,"0","2306"
16,"United States Senator (Vote For 1)","Kerry Douglas McKennon","LIB",3003,1.96,0,155752,94,82,"0","2306"
17,"United States Senator (Vote For 1)","David B. Collins","GRN",969,0.63,0,155752,94,82,"0","2306"
18,"United States Senator (Vote For 1)","Ricardo Turullols-Bonilla","",3,0.00,0,155752,94,82,"0","2306"
19,"United States Representative, District 14 (Vote For 1)","Randy Weber","REP",97136,63.57,0,155752,94,82,"0","2943"
20,"United States Representative, District 14 (Vote For 1)","Adrienne Bell","DEM",55672,36.43,0,155752,94,82,"0","2943"
21,"Railroad Commissioner (Vote For 1)","James 'Jim' Wright","REP",92535,61.10,0,155752,94,82,"0","4312"
22,"Railroad Commissioner (Vote For 1)","Chrysta Castañeda","DEM",53564,35.37,0,155752,94,82,"0","4312"
23,"Railroad Commissioner (Vote For 1)","Matt Sterett","LIB",3663,2.42,0,155752,94,82,"0","4312"
24,"Railroad Commissioner (Vote For 1)","Katija 'Kat' Gruene","GRN",1678,1.11,0,155752,94,82,"0","4312"
25,"Chief Justice, Supreme Court (Vote For 1)","Nathan Hecht","REP",92676,61.07,0,155752,94,82,"0","3986"
26,"Chief Justice, Supreme Court (Vote For 1)","Amy Clark Meachum","DEM",54988,36.23,0,155752,94,82,"0","3986"
27,"Chief Justice, Supreme Court (Vote For 1)","Mark Ash","LIB",4102,2.70,0,155752,94,82,"0","3986"
28,"Justice, Supreme Court, Place 6-Unexpired Term (Vote For 1)","Jane Bland","REP",96068,63.56,0,155752,94,82,"0","4597"
29,"Justice, Supreme Court, Place 6-Unexpired Term (Vote For 1)","Kathy Cheng","DEM",55087,36.44,0,155752,94,82,"0","4597"
30,"Justice, Supreme Court, Place 7 (Vote For 1)","Jeff Boyd","REP",92606,61.28,0,155752,94,82,"0","4632"
31,"Justice, Supreme Court, Place 7 (Vote For 1)","Staci Williams","DEM",54511,36.07,0,155752,94,82,"0","4632"
32,"Justice, Supreme Court, Place 7 (Vote For 1)","William Bryan Strange III","LIB",4003,2.65,0,155752,94,82,"0","4632"
33,"Justice, Supreme Court, Place 8 (Vote For 1)","Brett Busby","REP",92999,61.64,0,155752,94,82,"0","4876"
34,"Justice, Supreme Court, Place 8 (Vote For 1)","Gisela D. Triana","DEM",53732,35.61,0,155752,94,82,"0","4876"
35,"Justice, Supreme Court, Place 8 (Vote For 1)","Tom Oxford","LIB",4145,2.75,0,155752,94,82,"0","4876"
36,"Judge, Court of Criminal Appeals, Place 3 (Vote For 1)","Bert Richardson","REP",94719,62.90,0,155752,94,82,"0","5165"
37,"Judge, Court of Criminal Appeals, Place 3 (Vote For 1)","Elizabeth Davis Frizell","DEM",55868,37.10,0,155752,94,82,"0","5165"
38,"Judge, Court of Criminal Appeals, Place 4 (Vote For 1)","Kevin Patrick Yeary","REP",94985,63.23,0,155752,94,82,"0","5533"
39,"Judge, Court of Criminal Appeals, Place 4 (Vote For 1)","Tina Clinton","DEM",55234,36.77,0,155752,94,82,"0","5533"
40,"Judge, Court of Criminal Appeals, Place 9 (Vote For 1)","David Newell","REP",95386,63.62,0,155752,94,82,"0","5825"
41,"Judge, Court of Criminal Appeals, Place 9 (Vote For 1)","Brandon Birmingham","DEM",54541,36.38,0,155752,94,82,"0","5825"
42,"State Senator, District 4 (Vote For 1)","Brandon Creighton","REP",1440,82.71,0,1792,2,2,"0","51"
43,"State Senator, District 4 (Vote For 1)","Jay Stittleburg","DEM",270,15.51,0,1792,2,2,"0","51"
44,"State Senator, District 4 (Vote For 1)","Cameron Brock","LIB",31,1.78,0,1792,2,2,"0","51"
45,"State Senator, District 11 (Vote For 1)","Larry Taylor","REP",91463,61.09,0,153960,92,80,"0","4237"
